"12f6 -- 8. Asukkaiden pääasiallinen toiminta, 2010-2022"

"Postinumeroalue";"Tiedot";"2022"
"00610  Käpylä (Helsinki)";"Opiskelijat (PT)";507
"00610  Käpylä (Helsinki)";"Eläkeläiset (PT)";1599
"00610  Käpylä (Helsinki)";"Muut (PT)";200
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)";"Asukkaat yhteensä (PT)";5464
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)";"Työlliset (PT)";2844
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)";"Työttömät (PT)";222
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)";"Lapset 0-14-vuotiaat (PT)";798
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)";"Opiskelijat (PT)";401
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)";"Eläkeläiset (PT)";1042
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)";"Muut (PT)";157
"00630  Maunula (Helsinki)";"Asukkaat yhteensä (PT)";8102
"00630  Maunula (Helsinki)";"Työlliset (PT)";3511
"00630  Maunula (Helsinki)";"Työttömät (PT)";494
"00630  Maunula (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1202
"00630  Maunula (Helsinki)";"Opiskelijat (PT)";618
"00630  Maunula (Helsinki)";"Eläkeläiset (PT)";2011
"00630  Maunula (Helsinki)";"Muut (PT)";266
"00640  Oulunkylä - Patola (Helsinki)";"Asukkaat yhteensä (PT)";8345
"00640  Oulunkylä - Patola (Helsinki)";"Työlliset (PT)";3929
"00640  Oulunkylä - Patola (Helsinki)";"Työttömät (PT)";381
"00640  Oulunkylä - Patola (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1306
"00640  Oulunkylä - Patola (Helsinki)";"Opiskelijat (PT)";646
"00640  Oulunkylä - Patola (Helsinki)";"Eläkeläiset (PT)";1810
"00640  Oulunkylä - Patola (Helsinki)";"Muut (PT)";273
"00650  Veräjämäki (Helsinki)";"Asukkaat yhteensä (PT)";4352
"00650  Veräjämäki (Helsinki)";"Työlliset (PT)";2118
"00650  Veräjämäki (Helsinki)";"Työttömät (PT)";197
"00650  Veräjämäki (Helsinki)";"Lapset 0-14-vuotiaat (PT)";790
"00650  Veräjämäki (Helsinki)";"Opiskelijat (PT)";316
"00650  Veräjämäki (Helsinki)";"Eläkeläiset (PT)";782
"00650  Veräjämäki (Helsinki)";"Muut (PT)";149
"00660  Länsi-Pakila (Helsinki)";"Asukkaat yhteensä (PT)";6670
"00660  Länsi-Pakila (Helsinki)";"Työlliset (PT)";3001
"00660  Länsi-Pakila (Helsinki)";"Työttömät (PT)";177
"00660  Länsi-Pakila (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1295
"00660  Länsi-Pakila (Helsinki)";"Opiskelijat (PT)";417
